710007.73122, 3,   1.974,  9.380, -2.682
710007.77406, 3,   1.974,  9.380, -2.682, 5,   9.891,-47.502, 13.367
710007.79393, 3,   1.974,  9.380, -2.682, 4,   0.020,  0.348, -0.003, 5,  10.544,-48.201, 14.096
710007.81377, 3,   2.075,  9.430, -2.529, 4,   0.020,  0.348, -0.003, 5,  13.185,-49.573, 17.735
710007.83364, 3,   2.058,  9.404, -2.524, 4,   0.020,  0.348, -0.003, 5,  13.205,-48.862, 19.186
710007.85350, 3,   2.106,  9.409, -2.515, 4,   0.005, -0.009,  0.003, 5,  11.182,-49.617, 16.280
710007.87337, 3,   2.110,  9.394, -2.453, 4,   0.005, -0.002,  0.006, 5,  12.517,-49.586, 17.007
710007.89324, 3,   2.084,  9.425, -2.491, 4,   0.004, -0.003,  0.006, 5,  13.217,-48.141, 16.280
710007.91310, 3,   2.058,  9.423, -2.422, 4,   0.002, -0.005,  0.006, 5,  11.832,-50.313, 16.281
710007.93294, 3,   2.041,  9.452, -2.484, 4,   0.004, -0.005,  0.007, 5,  11.197,-48.901, 15.552
710007.95281, 3,   2.010,  9.406, -2.524, 4,   0.004, -0.008,  0.007, 5,  13.182,-49.567, 15.556
710007.97270, 3,   1.950,  9.411, -2.529, 4,   0.004, -0.007,  0.007, 5,  13.202,-48.856, 17.007
710007.99257, 3,   1.862,  9.454, -2.460, 4,   0.002, -0.004,  0.010, 5,  12.566,-47.444, 16.277
710008.01244, 3,   1.883,  9.437, -2.472, 4,   0.002, -0.002,  0.014, 5,  12.534,-48.872, 17.006
710008.03230, 3,   2.065,  9.397, -2.479, 4,   0.004, -0.002,  0.017, 5,  12.564,-47.443, 15.550
710008.05214, 3,   2.194,  9.416, -2.467, 4,   0.004, -0.002,  0.023, 5,  12.485,-51.012, 17.012
710008.07201, 3,   2.259,  9.413, -2.462, 4,   0.004,  0.004,  0.023, 5,  13.867,-48.837, 16.283
