699330.40902, 3,   0.053,  9.588, -2.721
699330.44823, 3,   0.053,  9.588, -2.721, 5,   6.813,-37.651, 35.851
699330.46809, 3,   0.053,  9.588, -2.721, 4,   0.003, -0.029,  0.014, 5,   6.165,-36.955, 36.574
699330.48796, 3,  -0.072,  9.629, -2.632, 4,   0.003, -0.029,  0.014, 5,   8.186,-36.200, 38.756
699330.50783, 3,  -0.093,  9.643, -2.577, 4,   0.003, -0.029,  0.014, 5,   8.186,-36.200, 38.756
699330.52769, 3,  -0.074,  9.626, -2.570, 4,   0.003, -0.024,  0.003, 5,   8.134,-38.332, 36.580
699330.54756, 3,  -0.010,  9.636, -2.613, 4,   0.003, -0.032,  0.004, 5,   8.138,-38.339, 39.485
699330.56743, 3,   0.045,  9.624, -2.529, 4,   0.005, -0.034,  0.007, 5,  10.825,-37.561, 38.763
699330.58729, 3,  -0.014,  9.612, -2.565, 4,   0.005, -0.034,  0.009, 5,   8.151,-37.625, 38.031
699330.60713, 3,  -0.038,  9.636, -2.608, 4,   0.007, -0.032,  0.008, 5,   6.834,-36.945, 38.756
699330.62706, 3,  -0.074,  9.610, -2.579, 4,   0.008, -0.027,  0.009, 5,   8.806,-38.321, 38.762
699330.64693, 3,  -0.043,  9.612, -2.601, 4,   0.007, -0.022,  0.012, 5,   8.803,-38.316, 37.308
699330.66676, 3,  -0.091,  9.619, -2.632, 4,   0.007, -0.022,  0.014, 5,   9.525,-36.171, 40.210
699330.68663, 3,  -0.022,  9.610, -2.668, 4,   0.008, -0.027,  0.015, 5,   6.815,-37.653, 36.577
699330.70650, 3,  -0.041,  9.600, -2.627, 4,   0.008, -0.029,  0.018, 5,   8.183,-36.194, 36.575
699330.72636, 3,  -0.065,  9.636, -2.632, 4,   0.008, -0.023,  0.018, 5,   8.769,-39.743, 37.312
699330.74623, 3,  -0.038,  9.617, -2.668, 4,   0.009, -0.017,  0.019, 5,   8.183,-36.195, 37.302
699330.76610, 3,  -0.033,  9.624, -2.637, 4,   0.011, -0.016,  0.020, 5,   8.833,-36.888, 35.852
699330.78596, 3,   0.002,  9.641, -2.618, 4,   0.012, -0.016,  0.023, 5,   9.523,-36.168, 38.759
