703439.68324, 3,   0.668,  9.622, -2.761
703439.70311, 3,   0.668,  9.622, -2.761, 4,  -0.004, -0.019,  0.019
703439.72298, 3,   0.660,  9.600, -2.579
703439.74223, 3,   0.629,  9.578, -2.613
703439.76268, 3,   0.589,  9.610, -2.644, 4,   0.001, -0.006,  0.004, 5,  20.776,-44.582, 15.900
703439.78258, 3,   0.687,  9.590, -2.644
703439.80245, 3,   0.648,  9.571, -2.658
703439.82231, 3,   0.601,  9.588, -2.642, 4,   0.000, -0.001,  0.002, 5,  20.996,-44.389, 17.310
703439.84218, 3,   0.634,  9.552, -2.682
703439.86205, 3,   0.677,  9.607, -2.668
703439.88191, 3,   0.663,  9.569, -2.639, 4,   0.000,  0.002, -0.002, 5,  21.837,-44.659, 17.010
703439.90178, 3,   0.627,  9.617, -2.630
703439.92165, 3,   0.553,  9.588, -2.587
703439.94151, 3,   0.555,  9.595, -2.517, 4,   0.001,  0.001, -0.002, 5,  22.536,-45.116, 17.014
703439.96135, 3,   0.617,  9.633, -2.527
703439.98122, 3,   0.677,  9.631, -2.536
703440.00108, 3,   0.603,  9.662, -2.582, 4,   0.003,  0.002,  0.001, 5,  20.419,-44.641, 17.007
703440.02095, 3,   0.479,  9.617, -2.539
703440.04082, 3,   0.531,  9.602, -2.496
703440.06069, 3,   0.689,  9.595, -2.479, 4,  -0.000, -0.009,  0.006, 5,  22.771,-44.498, 16.858
703440.08058, 3,   0.692,  9.614, -2.618
703440.10045, 3,   0.629,  9.581, -2.737
703440.12032, 3,   0.615,  9.586, -2.752, 4,   0.003, -0.000,  0.003
703440.14018, 3,   0.577,  9.552, -2.675
703440.16005, 3,   0.689,  9.538, -2.632
703440.17992, 3,   0.672,  9.586, -2.692, 4,   0.001, -0.002,  0.004, 5,  22.487,-43.732, 16.191
703440.19975, 3,   0.672,  9.578, -2.658
703440.21962, 3,   0.672,  9.617, -2.611
703440.23949, 3,   0.586,  9.600, -2.510, 4,   0.003,  0.007, -0.001
