701194.74318, 3,   0.325,  9.660, -2.182, 5, -12.053,-43.004, -3.387
701194.76304, 3,   0.325,  9.660, -2.182
701194.78294, 3,   0.328,  9.605, -2.599, 4,   0.001,  0.007,  0.007, 5,  -9.546,-44.180, -3.574
701194.80281, 3,   0.136,  9.583, -2.601
701194.82267, 3,   0.048,  9.641, -2.517
701194.84254, 3,   0.117,  9.648, -2.512, 4,  -0.002, -0.001, -0.018, 5,  -8.054,-45.093, -1.579
701194.86241, 3,   0.177,  9.624, -2.436
701194.88228, 3,   0.201,  9.638, -2.429
701194.90214, 3,   0.268,  9.633, -2.460, 4,  -0.002, -0.002, -0.006
701194.92201, 3,   0.266,  9.665, -2.484
701194.94188, 3,   0.220,  9.631, -2.460
701194.96174, 3,   0.223,  9.650, -2.472, 4,  -0.001, -0.002,  0.004, 5,  -6.871,-43.054, -1.312
701194.98161, 3,   0.220,  9.633, -2.556
701195.00148, 3,   0.249,  9.629, -2.572
701195.02131, 3,   0.373,  9.605, -2.529, 4,  -0.000,  0.001,  0.012
701195.04118, 3,   0.436,  9.633, -2.558
701195.06105, 3,   0.529,  9.614, -2.539
701195.08094, 3,   0.498,  9.622, -2.479, 4,  -0.002, -0.007,  0.012, 5,  -8.313,-44.586, -2.402
701195.10081, 3,   0.445,  9.624, -2.560
701195.12068, 3,   0.388,  9.619, -2.515
701195.14055, 3,   0.352,  9.602, -2.457, 4,   0.000, -0.000,  0.006, 5,  -8.087,-44.897, -0.900
701195.16041, 3,   0.256,  9.607, -2.522
701195.18028, 3,   0.127,  9.645, -2.625
701195.20015, 3,   0.024,  9.622, -2.515, 4,   0.003,  0.016,  0.009, 5,  -6.281,-45.110, -1.295
701195.22001, 3,  -0.024,  9.583, -2.493
701195.23988, 3,  -0.007,  9.648, -2.637
701195.25975, 3,   0.041,  9.617, -2.673, 4,   0.004,  0.020,  0.027, 5,  -7.397,-43.886, -1.291
701195.27961, 3,   0.055,  9.600, -2.649
701195.29948, 3,   0.218,  9.598, -2.704
701195.31935, 3,   0.431,  9.562, -2.627, 4,   0.002,  0.018,  0.049, 5,  -7.693,-45.192, -1.768
701195.33922, 3,   0.421,  9.590, -2.606
701195.35911, 3,   0.397,  9.612, -2.620
701195.37898, 3,   0.510,  9.626, -2.692, 4,   0.004,  0.031,  0.054, 5,  -8.524,-44.827, -2.405
701195.39882, 3,   0.601,  9.574, -2.623
701195.41871, 3,   0.646,  9.533, -2.539
701195.43855, 3,   0.684,  9.641, -2.709, 4,   0.004,  0.041,  0.051
701195.45842, 3,   1.400,  9.421, -4.025
701195.47828, 3,   0.311,  9.677, -2.158
701195.49815, 3,   0.077,  9.823, -1.606, 4,  -0.008,  0.120,  0.032, 5,  -8.498,-45.064, -0.470
701195.51802, 3,   0.653,  9.454, -3.331
701195.53788, 3,   0.067,  9.598, -2.558
701195.55775, 3,   0.481,  9.768, -2.620, 4,   0.013,  0.040,  0.028
701195.57762, 3,   0.883,  9.504, -2.654
701195.59749, 3,   0.991,  9.509, -2.429
701195.61735, 3,   0.610,  9.681, -2.132, 4,  -0.004,  0.020,  0.027, 5,  -9.071,-45.073, -2.313
701195.63722, 3,   0.802,  9.619, -3.154
701195.65712, 3,   0.165,  9.588, -2.754
701195.67698, 3,  -0.067,  9.708, -2.237, 4,   0.000,  0.111,  0.022, 5,  -8.794,-44.220, -1.785
701195.69685, 3,   0.230,  9.607, -2.603
701195.71672, 3,   0.361,  9.488, -2.733
701195.73658, 3,   0.383,  9.576, -2.364, 4,   0.005,  0.129,  0.044, 5,  -8.748,-44.353, -2.647
701195.75645, 3,   0.072,  9.645, -3.170
701195.77632, 3,   0.201,  9.418, -3.245
701195.79619, 3,   0.569,  9.514, -2.840, 4,  -0.002,  0.059,  0.067, 5,  -7.959,-45.387, -0.658
701195.81605, 3,   0.869,  9.595, -2.498
701195.83592, 3,   0.933,  9.375, -2.735
701195.85579, 3,   1.019,  9.533, -3.010, 4,   0.006,  0.146,  0.069, 5,  -9.048,-43.979, -2.699
701195.87562, 3,   1.216,  9.425, -3.340
701195.89549, 3,   1.378,  9.433, -3.161
701195.91536, 3,   1.290,  9.380, -2.979, 4,   0.002,  0.088,  0.048
701195.93527, 3,   1.103,  9.526, -3.082, 4,  -0.003,  0.259,  0.021, 5,  -8.653,-44.902, -1.141
701195.95514, 3,   0.859,  9.552, -2.941
701195.97500, 3,   0.636,  9.490, -2.831
701195.99487, 3,   0.543,  9.428, -2.730
701196.01474, 3,   0.517,  9.344, -3.032, 4,   0.013,  0.267,  0.018
701196.03461, 3,   0.438,  9.497, -3.135
701196.05447, 3,   0.598,  9.701, -3.376
701196.07434, 3,   0.809,  9.574, -3.300, 4,   0.005,  0.197,  0.028, 5,  -9.006,-45.767, -2.649
701196.09421, 3,   1.058,  9.203, -2.670
701196.11407, 3,   1.108,  9.562, -2.522
701196.13394, 3,   0.988,  9.509, -2.261, 4,   0.009,  0.245,  0.021, 5,  -9.842,-45.807, -1.924
701196.15381, 3,   1.046,  9.564, -2.950
701196.17367, 3,   1.060,  9.645, -2.173
701196.19354, 3,   1.019,  9.858, -1.725, 4,   0.000,  0.206,  0.010, 5,  -7.245,-45.329, -2.240
701196.21344, 3,   1.170,  9.854, -1.591
701196.23331, 3,   1.228,  9.648, -1.761
701196.25317, 3,   1.129,  9.459, -1.826, 4,  -0.002,  0.125,  0.017, 5,  -9.613,-46.603, -2.905
701196.27304, 3,   0.933,  9.782, -1.756
701196.29291, 3,   0.799,  9.923, -1.531
701196.31274, 3,   0.778,  9.844, -1.752, 4,  -0.004,  0.061,  0.025, 5,  -8.371,-45.633, -2.057
701196.33261, 3,   1.050,  9.791, -1.680
701196.35248, 3,   1.072,  9.746, -1.491
701196.37234, 3,   1.139,  9.808, -1.472, 4,  -0.007,  0.047,  0.038
701196.39221, 3,   1.316,  9.775, -1.563
701196.41208, 3,   1.352,  9.765, -1.955
701196.43194, 3,   1.192,  9.720, -2.039, 4,  -0.006,  0.041,  0.046, 5,  -7.010,-46.208, -2.415
701196.45181, 3,   1.043,  9.669, -1.957
701196.47168, 3,   1.089,  9.622, -1.981
701196.49155, 3,   1.244,  9.641, -2.177, 4,  -0.002,  0.026,  0.048, 5,  -7.806,-44.327, -3.661
701196.51144, 3,   1.376,  9.598, -2.498
701196.53131, 3,   1.488,  9.516, -2.733
701196.55118, 3,   1.677,  9.547, -2.754, 4,  -0.000,  0.002,  0.039
701196.57104, 3,   1.802,  9.478, -2.663
701196.59030, 3,   1.720,  9.521, -2.575
701196.61078, 3,   1.584,  9.531, -2.424, 4,  -0.002,  0.016,  0.006, 5,  -8.482,-44.632, -2.650
701196.63064, 3,   1.503,  9.521, -2.460
701196.65051, 3,   1.433,  9.600, -2.532
701196.67038, 3,   1.524,  9.581, -2.457, 4,   0.005, -0.011, -0.016, 5,  -8.101,-45.239, -3.178
701196.69025, 3,   1.563,  9.543, -2.378
701196.71011, 3,   1.388,  9.586, -2.364
701196.72995, 3,   1.292,  9.602, -2.347, 4,   0.004, -0.000, -0.034, 5, -10.104,-45.805, -3.380
701196.74982, 3,   1.280,  9.555, -2.419
701196.76968, 3,   1.206,  9.576, -2.460
701196.78958, 3,   1.077,  9.605, -2.460, 4,   0.002, -0.007, -0.041, 5,  -7.602,-45.036, -2.493
701196.80945, 3,   1.034,  9.590, -2.410
701196.82931, 3,   0.974,  9.571, -2.314
701196.84918, 3,   0.964,  9.571, -2.276, 4,   0.001, -0.007, -0.036, 5,  -8.786,-44.353, -2.266
701196.86905, 3,   0.995,  9.619, -2.316
701196.88891, 3,   1.125,  9.641, -2.486
701196.90878, 3,   1.048,  9.586, -2.575, 4,   0.003, -0.012, -0.029
701196.92865, 3,   0.890,  9.578, -2.730
701196.94852, 3,   0.699,  9.535, -2.835
701196.96838, 3,   0.462,  9.538, -2.807, 4,  -0.009,  0.034, -0.015, 5,  -8.080,-44.388, -2.757
701196.98825, 3,   0.318,  9.495, -2.788
701197.00812, 3,   0.550,  9.514, -2.835
701197.02798, 3,   1.079,  9.507, -3.075, 4,  -0.003,  0.056,  0.011
