711347.32130, 3,   0.869,  9.555, -2.816, 5,  13.869,-48.100,  6.113
711347.34117, 3,   0.869,  9.555, -2.816
711347.36043, 3,   0.799,  9.523, -2.747, 4,  -0.044,  0.226,  0.113, 5,  15.338,-48.561, 10.240
711347.38090, 3,   0.790,  9.533, -2.716
711347.40077, 3,   0.833,  9.540, -2.761
711347.42064, 3,   0.782,  9.535, -2.745, 4,   0.003, -0.008,  0.010
711347.44050, 3,   0.727,  9.543, -2.721
711347.46037, 3,   0.790,  9.540, -2.701
711347.48024, 3,   0.897,  9.526, -2.764, 4,   0.002, -0.005,  0.015, 5,  16.884,-47.029, 10.048
711347.50011, 3,   0.924,  9.543, -2.737
711347.51994, 3,   0.842,  9.545, -2.771
711347.53981, 3,   0.751,  9.545, -2.701, 4,   0.004, -0.000,  0.014, 5,  16.696,-47.476, 10.474
711347.55968, 3,   0.833,  9.540, -2.742
711347.57954, 3,   0.895,  9.526, -2.745
711347.59941, 3,   0.957,  9.521, -2.728, 4,   0.003, -0.006,  0.017, 5,  16.586,-48.042,  9.114
711347.61928, 3,   1.058,  9.547, -2.766
711347.63914, 3,   0.921,  9.552, -2.773
711347.65901, 3,   0.787,  9.543, -2.761, 4,   0.003, -0.003,  0.013, 5,  17.213,-47.795, 11.198
711347.67888, 3,   0.790,  9.545, -2.711
711347.69874, 3,   0.854,  9.547, -2.685
711347.71861, 3,   0.873,  9.540, -2.711, 4,   0.002, -0.007,  0.014, 5,  16.536,-48.471,  9.457
711347.73848, 3,   0.802,  9.547, -2.735
711347.75834, 3,   0.670,  9.538, -2.742
711347.77818, 3,   0.663,  9.550, -2.668, 4,   0.005,  0.004,  0.015
711347.79805, 3,   0.749,  9.540, -2.692
711347.81792, 3,   0.797,  9.535, -2.711
711347.83778, 3,   0.837,  9.538, -2.687, 4,   0.005, -0.002,  0.024, 5,  17.819,-46.873, 11.104
711347.85765, 3,   0.821,  9.545, -2.711
711347.87752, 3,   0.768,  9.543, -2.742
711347.89738, 3,   0.766,  9.528, -2.737, 4,   0.009,  0.007,  0.028, 5,  15.880,-47.632,  9.886
711347.91722, 3,   0.967,  9.533, -2.747
711347.93712, 3,   1.015,  9.526, -2.752
711347.95698, 3,   0.979,  9.504, -2.766, 4,   0.007,  0.005,  0.032
711347.97685, 3,   1.012,  9.562, -2.847
