709456.61761, 3,   1.500,  9.471, -2.752, 5,  -4.837,-48.532, -3.360
709456.63748, 3,   1.500,  9.471, -2.752
709456.65674, 3,   1.275,  9.488, -2.780, 4,   0.038, -0.146, -0.010, 5, -23.900,-44.601, 20.564
709456.67719, 3,   1.175,  9.521, -2.785
709456.69705, 3,   1.230,  9.488, -2.737
709456.71692, 3,   1.292,  9.488, -2.759, 4,   0.005, -0.012,  0.034, 5, -23.055,-44.060, 24.557
709456.73679, 3,   1.323,  9.535, -2.778
709456.75662, 3,   1.218,  9.485, -2.723
709456.77649, 3,   1.304,  9.502, -2.721, 4,   0.002, -0.029,  0.037
709456.79636, 3,   1.479,  9.473, -2.754
709456.81622, 3,   1.505,  9.471, -2.716
709456.83609, 3,   1.627,  9.497, -2.771, 4,   0.003, -0.026,  0.035, 5, -22.765,-45.387, 25.565
709456.85535, 3,   1.778,  9.497, -2.855
709456.87582, 3,   1.764,  9.456, -2.742
709456.89569, 3,   1.725,  9.413, -2.747, 4,   0.004, -0.013,  0.018, 5, -21.858,-45.009, 24.979
709456.91556, 3,   1.761,  9.488, -2.950
709456.93542, 3,   1.680,  9.471, -2.835
709456.95529, 3,   1.649,  9.464, -2.627, 4,  -0.002, -0.025, -0.004
709456.97513, 3,   1.811,  9.444, -2.723, 4,  -0.002, -0.019, -0.026, 5, -23.882,-45.090, 24.197
709456.99500, 3,   1.541,  9.461, -2.821
709457.01486, 3,   1.996,  9.337, -4.216
709457.03473, 3,   0.031,  9.275, -0.948
709457.05457, 3,   0.907,  9.665, -1.275, 4,   0.000,  0.008, -0.036, 5, -21.494,-44.496, 24.083
709457.07443, 3,   2.077,  9.330, -5.468
709457.09430, 3,   0.223,  9.535, -2.400
709457.11416, 3,   0.256,  9.751, -1.665, 4,  -0.004, -0.047, -0.019, 5, -22.041,-43.950, 23.470
709457.13403, 3,   1.397,  9.437, -3.455
709457.15393, 3,   1.357,  9.392, -3.125
709457.17376, 3,   0.960,  9.698, -2.130, 4,  -0.011, -0.073,  0.003, 5, -22.652,-44.937, 24.199
709457.19363, 3,   1.488,  9.425, -2.436
709457.21350, 3,   1.641,  9.476, -3.223
709457.23336, 3,   1.383,  9.557, -2.699, 4,  -0.004, -0.068, -0.004
709457.25323, 3,   1.424,  9.466, -2.347
709457.27310, 3,   1.718,  9.476, -2.835
709457.29293, 3,   1.510,  9.545, -2.838, 4,  -0.000, -0.015, -0.022, 5, -21.817,-44.736, 24.403
709457.31280, 3,   1.196,  9.500, -2.773
709457.33267, 3,   1.003,  9.509, -2.706
709457.35253, 3,   0.869,  9.497, -2.558, 4,  -0.010, -0.044, -0.023, 5, -21.393,-44.720, 22.092
709457.37240, 3,  -0.290,  8.801, -1.318
709457.39224, 3,   1.558, 10.071, -3.601
709457.41210, 3,   1.103,  9.131, -1.208, 4,   0.000,  0.033, -0.004, 5, -21.378,-44.133, 23.347
709457.43197, 3,   0.928,  9.476, -2.493
709457.45187, 3,   0.349, 10.114, -3.448
709457.47174, 3,   0.342,  9.217, -2.481, 4,   0.027,  0.022,  0.014, 5, -22.060,-44.649, 22.661
